date,open,high,low,close,volume,adj.close,sma 8,sma 25,sma 90,stddev,-3s,-2s,+2s,+3s,RCI
2017-10-30,2719,2719,2611,2625,590900,2625,2686.5,2417.2,1577.3,204.4,1803.9,2008.3,2826.1,3030.5,78.2
2017-10-31,2605,2663,2572,2623,429100,2623,2661.2,2428.4,1597.8,207.9,1804.8,2012.7,2844.1,3052.0,82.9
2017-11-01,2639,2654,2574,2583,386200,2583,2648.2,2439.3,1617.9,208.6,1813.6,2022.2,2856.4,3065.0,82.8
2017-11-02,2550,2568,2509,2555,514000,2555,2636.4,2452.7,1637.7,204.6,1839.0,2043.6,2861.8,3066.4,79.5
2017-11-06,2520,2640,2520,2597,524000,2597,2625.9,2468.4,1657.9,199.8,1869.0,2068.8,2868.0,3067.8,74.8
2017-11-07,2581,2669,2581,2659,491500,2659,2627.8,2491.7,1678.8,185.5,1935.2,2120.7,2862.7,3048.2,71.3
2017-11-08,2660,2660,2563,2588,433400,2588,2614.6,2506.2,1698.3,177.9,1972.6,2150.4,2862.0,3039.8,65.3
2017-11-09,2580,2609,2262,2430,839200,2430,2582.5,2510.9,1716.1,174.1,1988.6,2162.7,2859.1,3033.2,56.9
2017-11-10,2357,2468,2357,2439,388600,2439,2559.2,2515.2,1734.1,170.8,2002.8,2173.6,2856.8,3027.6,47.7
2017-11-13,2400,2463,2354,2426,541200,2426,2534.6,2520.0,1751.7,166.2,2021.3,2187.5,2852.5,3018.7,36.2
2017-11-14,2490,2490,2290,2299,1194200,2299,2499.1,2521.7,1768.2,163.6,2030.9,2194.5,2848.9,3012.5,16.8
2017-11-15,2200,2225,2058,2120,1062400,2120,2444.8,2516.1,1782.8,175.0,1991.1,2166.1,2866.1,3041.1,-6.2
2017-11-16,2162,2287,2116,2226,729100,2226,2398.4,2516.7,1798.4,173.9,1995.1,2169.0,2864.4,3038.3,-27.3
2017-11-20,2200,2247,2158,2232,403500,2232,2345.0,2509.2,1813.9,182.1,1963.0,2145.1,2873.3,3055.4,-44.2
2017-11-21,2232,2250,2210,2241,188700,2241,2301.6,2501.3,1829.8,189.4,1933.1,2122.5,2880.1,3069.5,-55.0
2017-11-22,2270,2295,2203,2213,359200,2213,2274.5,2495.8,1845.3,195.8,1908.3,2104.1,2887.5,3083.3,-69.1
2017-11-24,2203,2283,2184,2273,302400,2273,2253.8,2493.4,1861.4,198.2,1898.7,2096.9,2889.9,3088.1,-81.1
2017-11-27,2300,2364,2270,2310,476200,2310,2239.2,2492.2,1878.1,199.3,1894.3,2093.6,2890.8,3090.1,-90.7
2017-11-28,2302,2328,2187,2222,418000,2222,2229.6,2468.1,1893.8,193.8,1886.8,2080.6,2855.6,3049.4,-89.9
2017-11-29,2230,2240,2182,2228,308300,2228,2243.1,2449.8,1909.6,193.9,1868.1,2062.0,2837.6,3031.5,-88.7
2017-11-30,2207,2219,2163,2196,367600,2196,2239.4,2431.6,1924.9,195.6,1844.7,2040.4,2822.8,3018.5,-89.4
2017-12-01,2203,2237,2177,2204,227500,2204,2235.9,2412.5,1940.2,193.5,1831.9,2025.4,2799.6,2993.1,-88.9
