code,date,open,high,low,close,volume,adj_close
5301,2018/01/15,1720,1730,1666,1694,4877300,1694
5301,2018/01/16,1683,1720,1667,1716,3173700,1716
5301,2018/01/17,1680,1724,1677,1706,3663500,1706
5301,2018/01/18,1681,1698,1605,1620,9101900,1620
5301,2018/01/19,1580,1626,1563,1617,5610500,1617
5301,2018/01/22,1608,1618,1596,1607,2669800,1607
5301,2018/01/23,1616,1697,1615,1696,5715300,1696
5301,2018/01/24,1700,1718,1623,1646,6031400,1646
5301,2018/01/25,1615,1650,1603,1608,3651900,1608
5301,2018/01/26,1623,1662,1621,1635,3495800,1635
5301,2018/01/29,1635,1651,1616,1623,2489200,1623
5301,2018/01/30,1618,1636,1568,1581,3836700,1581
5301,2018/01/31,1566,1605,1564,1581,3997100,1581
5301,2018/02/01,1585,1606,1557,1602,4050300,1602
5301,2018/02/02,1625,1653,1592,1628,4577900,1628
5301,2018/02/05,1548,1551,1490,1511,5174800,1511
5301,2018/02/06,1370,1465,1363,1430,8093000,1430
5301,2018/02/07,1511,1541,1461,1463,6348000,1463
5301,2018/02/08,1461,1494,1450,1469,3806200,1469
5301,2018/02/09,1379,1446,1377,1438,5804700,1438
5301,2018/02/13,1538,1559,1468,1502,7392300,1502
5301,2018/02/14,1650,1768,1621,1752,25151600,1752
5301,2018/02/15,1750,1778,1666,1716,9582300,1716
5301,2018/02/16,1750,1837,1730,1819,11188900,1819
5301,2018/02/19,1850,1868,1815,1861,6094300,1861
5301,2018/02/20,1887,1932,1859,1882,8026600,1882
5301,2018/02/21,1917,2016,1897,1983,10223000,1983
5301,2018/02/22,1954,2002,1918,1969,7872300,1969
5301,2018/02/23,1959,1982,1926,1971,5264800,1971
5301,2018/02/26,1973,1977,1857,1884,8188100,1884
5301,2018/02/27,1900,1935,1873,1890,6039500,1890
5301,2018/02/28,1871,1917,1858,1863,6010600,1863
5301,2018/03/01,1843,1853,1792,1819,6523000,1819
5301,2018/03/02,1765,1848,1754,1833,6903500,1833
5301,2018/03/05,1803,1823,1708,1715,7577700,1715
5301,2018/03/06,1800,1826,1766,1786,5856100,1786
5301,2018/03/07,1750,1754,1684,1696,7228100,1696
5301,2018/03/08,1697,1701,1657,1680,5954300,1680
5301,2018/03/09,1698,1720,1661,1676,5746900,1676
5301,2018/03/12,1715,1740,1677,1698,4703300,1698
5301,2018/03/13,1690,1705,1652,1682,5666900,1682
5301,2018/03/14,1655,1704,1653,1672,3655300,1672
5301,2018/03/15,1672,1746,1665,1742,6164600,1742
5301,2018/03/16,1750,1766,1658,1683,10606700,1683
5301,2018/03/19,1690,1693,1635,1648,6977000,1648
5301,2018/03/20,1605,1634,1593,1601,6407500,1601
5301,2018/03/22,1616,1661,1615,1624,5652200,1624
5301,2018/03/23,1550,1585,1513,1532,8380700,1532
5301,2018/03/26,1513,1518,1454,1509,7250600,1509
5301,2018/03/27,1552,1599,1550,1594,8605800,1594
5301,2018/03/28,1554,1568,1521,1539,5091400,1539
5301,2018/03/29,1564,1585,1529,1549,3465700,1549
5301,2018/03/30,1583,1653,1582,1651,6699600,1651
5301,2018/04/02,1621,1675,1620,1642,5631700,1642
5301,2018/04/03,1610,1662,1592,1659,4539100,1659
